Data,Receitas,Despesas,Categoria,Região,Cliente_Chave
2022-01-31,10003.540952755779,3832.9936192326127,Vendas,Sul,C20330
2022-01-31,8288.401691399984,4139.152612442172,Vendas,Oeste,C41317
2022-01-31,5655.263533173858,3259.1755178590415,Serviços,Norte,C21655
2022-01-31,9267.70231113145,-1262.9097837995632,Outros,Norte,C35686
2022-01-31,6431.881666187269,5082.184667269021,Outros,Norte,C14057
2022-01-31,7285.172392527696,3430.9479702024964,Serviços,Sul,C44803
2022-01-31,5541.180415217945,4626.858888226994,Outros,Oeste,C14054
2022-01-31,7415.315820671145,4459.47922047885,Outros,Oeste,C4664
2022-01-31,7342.3737777535425,3064.896285649277,Serviços,Oeste,C41311
2022-01-31,5537.4592113592735,4490.939137402456,Serviços,Norte,C14086
2022-01-31,4515.516430941403,4709.7305513600895,Consultoria,Leste,C994
2022-01-31,5903.603323583382,2517.230680283383,Outros,Norte,C35677
2022-01-31,6502.523588068117,3180.4040668433477,Consultoria,Sul,C4656
2022-01-31,6317.055819696687,4000.918230208197,Vendas,Sul,C39868
2022-01-31,6022.409449647293,3908.2743709323236,Outros,Leste,C35673
2022-01-31,8067.0721785232345,8542.718742852041,Vendas,Sul,C14001
2022-01-31,7905.543349490754,3394.8021370587003,Outros,Oeste,C6900
2022-01-31,7964.614457519927,5216.349391022545,Consultoria,Sul,C25583
2022-01-31,5461.234589694617,5571.044049366434,Serviços,Sul,C25611
2022-01-31,8395.77654177856,5798.940041973651,Outros,Leste,C1687
2022-01-31,8533.563294849444,3256.6032101788674,Consultoria,Norte,C35707
2022-01-31,7056.3953357113005,4100.401143276564,Vendas,Oeste,C21681
2022-01-31,9846.401648641222,3462.4684767982803,Serviços,Leste,C35725
2022-01-31,7748.628031628532,4033.6597976263574,Serviços,Norte,C14207
2022-01-31,6920.687888641693,5312.76762308758,Outros,Oeste,C25382
2022-01-31,8020.6499985039245,4419.686007132997,Serviços,Sul,C41362
2022-01-31,5571.212024602303,6748.078812200561,Consultoria,Sul,C6852
2022-01-31,6732.919546363095,5436.0679832049145,Consultoria,Leste,C6856
2022-01-31,9701.375326802565,5483.806930758015,Serviços,Oeste,C14179
2022-01-31,7523.409752144828,1863.7031731505685,Vendas,Oeste,C2737
