Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-01-01,27621,3856,Serviços,Sudeste,Não,2023-02-06,Compra,Pagamento,8404,Boleto,A Receber,2023-04-05,9526,Pago,7806,Operacional,4630,95162,28629,337890,6 parcelas até 2023-07-01,19361,2023-05-31,386,15526
2023-01-02,28244,15640,Investimentos,Norte,Não,2023-04-05,Marketing,Recebimento,30542,Dinheiro,A Pagar,2023-02-24,13237,Pendente,91010,Financeiro,21891,89000,44833,300976,4 parcelas até 2023-07-13,11532,2023-03-25,330,3235
2023-01-03,28898,3775,Operacional,Norte,Sim,2023-04-10,Venda,Recebimento,28427,Boleto,A Pagar,2023-11-06,26412,Pago,9369,Operacional,6398,15605,31338,357993,29 parcelas até 2023-09-19,16783,2023-08-30,191,13065
2023-01-04,30092,20046,Serviços,Sudeste,Sim,2023-12-16,Venda,Taxa,30735,Transferência,A Pagar,2023-10-02,10032,Pago,19536,Comercial,2445,56818,27039,480949,5 parcelas até 2023-10-12,7835,2023-03-23,212,13018
2023-01-05,7107,24229,Investimentos,Norte,Não,2023-08-22,Compra,Recebimento,17700,Cartão de Crédito,A Receber,2023-06-07,10276,Atrasado,9211,Comercial,31549,59284,19853,112535,12 parcelas até 2023-02-08,9706,2023-12-24,286,19348
2023-01-06,23818,25789,Serviços,Norte,Não,2023-12-28,Venda,Contrato,14699,Dinheiro,A Receber,2023-12-17,19346,Pendente,17844,Operacional,1721,71121,39665,173536,34 parcelas até 2023-01-02,8297,2023-03-01,423,4774
2023-01-07,35389,14215,Marketing,Sul,Não,2023-07-21,Venda,Recebimento,49030,Transferência,A Pagar,2023-07-08,5183,Atrasado,15433,Operacional,17151,10851,22022,17787,34 parcelas até 2023-04-12,3810,2023-12-28,66,12023
2023-01-08,21459,13670,Serviços,Sul,Não,2023-05-17,Serviço,Pagamento,16054,Transferência,A Receber,2023-07-26,6192,Pendente,40047,Financeiro,28564,89554,24467,325175,26 parcelas até 2023-11-12,1360,2023-05-21,76,15594
2023-01-09,48915,20552,Serviços,Norte,Sim,2023-08-12,Compra,Taxa,25775,Cartão de Crédito,A Receber,2023-12-11,18746,Pendente,87320,Comercial,4563,93006,45280,362844,29 parcelas até 2023-10-09,16650,2023-07-04,368,11886
2023-01-10,49937,29803,Investimentos,Sul,Sim,2023-11-20,Serviço,Contrato,7670,Cartão de Crédito,A Receber,2023-01-10,21433,Pendente,96369,Operacional,26165,65409,27024,71943,13 parcelas até 2023-05-08,14886,2023-10-03,223,9263
