Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-01-01,53875,83476,Serviços Bancários,Norte,Não,2023-10-01,Consultoria,Revisão de contratos,148314,Boleto,A Pagar,2023-05-17,145758,Pago,488416,Análise de Riscos,148258,475332,51414,1974722,51 parcelas até 2023-04-01,95417,2023-10-01,3,38
2023-01-02,107866,40102,Consultoria Financeira,Sudeste,Não,2023-07-22,Investimentos,Emissão de boletos,174736,Boleto,A Receber,2023-05-28,103535,Pendente,854631,Consultoria,121829,325486,154961,1411095,7 parcelas até 2023-01-14,49016,2023-02-03,3,470
2023-01-03,39801,18439,Serviços Bancários,Sul,Não,2023-10-06,Taxas Bancárias,Revisão de contratos,22690,Cartão de Crédito,A Receber,2023-02-17,111681,Pendente,947803,Atendimento ao Cliente,198247,448259,287419,648581,46 parcelas até 2023-03-14,74964,2023-09-21,3,2860
2023-01-04,96248,35930,Planejamento Financeiro,Sudeste,Sim,2023-02-08,Empréstimos,Abertura de conta,58147,Cartão de Crédito,A Pagar,2023-08-28,123725,Atrasado,628985,Compliance,163602,177394,225203,1286148,40 parcelas até 2023-09-06,53058,2023-04-09,9,2882
2023-01-05,63013,44839,Consultoria Financeira,Sudeste,Não,2023-01-23,Empréstimos,Abertura de conta,58916,Transferência,A Pagar,2023-07-13,38204,Pago,907726,Compliance,190893,462768,201370,1937943,48 parcelas até 2023-07-13,24852,2023-09-22,3,2868
2023-01-06,94066,81496,Gestão de Investimentos,Nordeste,Sim,2023-06-17,Taxas Bancárias,Revisão de contratos,85523,Cartão de Crédito,A Receber,2023-09-21,97081,Pago,822779,Compliance,147189,250280,155898,203527,55 parcelas até 2023-06-22,50767,2023-04-29,0,4205
2023-01-07,140243,86756,Gestão de Investimentos,Norte,Sim,2023-07-31,Consultoria,Revisão de contratos,137477,PIX,A Pagar,2023-03-28,114793,Atrasado,927454,Consultoria,180948,363240,71937,1681068,58 parcelas até 2023-02-07,98340,2023-06-04,8,4448
2023-01-08,115433,30190,Serviços Bancários,Norte,Não,2023-06-09,Empréstimos,Emissão de boletos,73665,Cartão de Crédito,A Receber,2023-08-21,15243,Pago,205441,Consultoria,123192,153626,108172,1508412,31 parcelas até 2023-03-07,79101,2023-11-28,8,884
2023-01-09,30870,42887,Gestão de Investimentos,Sul,Não,2023-11-11,Empréstimos,Emissão de boletos,108028,Boleto,A Pagar,2023-08-27,142424,Pago,866346,Consultoria,61474,229434,274577,569548,45 parcelas até 2023-06-03,40555,2023-05-27,7,1022
2023-01-10,50938,56458,Serviços Bancários,Sul,Sim,2023-04-11,Investimentos,Análise de portfólio,66624,PIX,A Receber,2023-02-09,70121,Pendente,176284,Compliance,180344,123399,102585,1922164,26 parcelas até 2023-11-10,38424,2023-09-06,6,4396
2023-01-11,108839,34003,Gestão de Investimentos,Norte,Não,2023-09-26,Empréstimos,Abertura de conta,117315,Cartão de Crédito,A Pagar,2023-04-12,99399,Atrasado,810258,Atendimento ao Cliente,129808,294698,231594,1337144,6 parcelas até 2023-11-27,17165,2023-04-16,7,4594
